Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
G4AD Extra Large,g4ad.xlarge,"74,710.497",GPU instance,28.0 fps,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.3785 hourly,$0.2385 hourly,$0.1342 hourly,$0.5625 hourly,$0.4225 hourly
G4DN 12xlarge Extra Large,g4dn.12xlarge,"715,776.916",GPU instance,110.0 fps,192 GiB,48 vCPUs,900 GB NVMe SSD,50 Gigabit,$3.912 hourly,$2.465 hourly,$1.2649 hourly,$6.12 hourly,$4.673 hourly
G4DN 16xlarge Extra Large,g4dn.16xlarge,"914,808.462",GPU instance,105.0 fps,256 GiB,64 vCPUs,900 GB NVMe SSD,50 Gigabit,$4.352 hourly,$2.742 hourly,$0.9333 hourly,$7.296 hourly,$5.686 hourly
G4DN Double Extra Large,g4dn.2xlarge,"116,228.389",GPU instance,105.0 fps,32 GiB,8 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$0.752 hourly,$0.474 hourly,$0.305 hourly,$1.12 hourly,$0.842 hourly
G4DN Quadruple Extra Large,g4dn.4xlarge,"230,991.338",GPU instance,106.0 fps,64 GiB,16 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$1.204 hourly,$0.759 hourly,$0.4049 hourly,$1.94 hourly,$1.495 hourly
G4DN Eight Extra Large,g4dn.8xlarge,"458,343.28",GPU instance,105.0 fps,128 GiB,32 vCPUs,900 GB NVMe SSD,50 Gigabit,$2.176 hourly,$1.371 hourly,$0.6492 hourly,$3.648 hourly,$2.843 hourly
G4DN Metal,g4dn.metal,"1,287,380.984",GPU instance,103.0 fps,384 GiB,96 vCPUs,1800 GB (2×900 GB NVMe SSD),100 Gigabit,$7.824 hourly,$4.929 hourly,$2.8041 hourly,$12.24 hourly,$9.345 hourly
G4DN Extra Large,g4dn.xlarge,"55,463.117",GPU instance,105.0 fps,16 GiB,4 vCPUs,125 GB NVMe SSD,Up to 25 Gigabit,$0.526 hourly,$0.331 hourly,$0.2012 hourly,$0.71 hourly,$0.515 hourly
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,"895,146.627",GPU instance,109.0 fps,192 GiB,48 vCPUs,3800 GB NVMe SSD,40 Gigabit,$5.672 hourly,$3.5734 hourly,$2.1142 hourly,$7.88 hourly,$5.7814 hourly
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,"1,246,915.184",GPU instance,113.0 fps,256 GiB,64 vCPUs,1900 GB NVMe SSD,25 Gigabit,$4.096 hourly,$2.5805 hourly,$1.1409 hourly,$7.04 hourly,$2.5805 hourly
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,"1,613,987.895",GPU instance,111.0 fps,384 GiB,96 vCPUs,3800 GB NVMe SSD,50 Gigabit,$8.144 hourly,$5.1307 hourly,$2.7871 hourly,$12.56 hourly,$9.5467 hourly
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,"144,423.884",GPU instance,114.0 fps,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$1.212 hourly,$0.7636 hourly,$0.4551 hourly,$1.58 hourly,$1.1316 hourly
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,"3,614,457.831",GPU instance,110.0 fps,768 GiB,192 vCPUs,7600 GB (2×3800 GB NVMe SSD),100 Gigabit,$16.288 hourly,$10.2614 hourly,$4.4275 hourly,$25.12 hourly,$10.2614 hourly
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,"312,479.656",GPU instance,111.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.624 hourly,$1.0231 hourly,$0.6301 hourly,$2.36 hourly,$1.7591 hourly
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,"621,902.633",GPU instance,111.0 fps,128 GiB,32 vCPUs,900 GB NVMe SSD,25 Gigabit,$2.448 hourly,$1.5422 hourly,$0.8338 hourly,$3.92 hourly,$3.0142 hourly
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,"69,633.842",GPU instance,115.0 fps,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$1.006 hourly,$0.6338 hourly,$0.4202 hourly,$1.19 hourly,$0.6338 hourly
G5G 16xlarge Extra Large,g5g.16xlarge,"1,283,422.46",GPU instance,100.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.744 hourly,$1.7287 hourly,$0.4038 hourly,,
G5G Double Extra Large,g5g.2xlarge,"157,801.302",GPU instance,99.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.556 hourly,$0.3503 hourly,$0.215 hourly,,
G5G Quadruple Extra Large,g5g.4xlarge,"314,877.985",GPU instance,99.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.828 hourly,$0.5216 hourly,$0.2756 hourly,,
G5G Eight Extra Large,g5g.8xlarge,"622,245.268",GPU instance,100.0 fps,64 GiB,32 vCPUs,EBS only,12 Gigabit,$1.372 hourly,$0.8644 hourly,$0.5374 hourly,,
G5G Metal,g5g.metal,"1,262,202.939",GPU instance,178.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.744 hourly,$1.7287 hourly,$0.3954 hourly,,
G5G Extra Large,g5g.xlarge,"77,504.36",GPU instance,99.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.42 hourly,$0.2646 hourly,$0.1314 hourly,,
G6 Graphics and Machine Learning GPU 12xlarge Extra Large,g6.12xlarge,"1,056,861.342",GPU instance,138.0 fps,192 GiB,48 vCPUs,3760 GB (4×940 GB NVMe SSD),40 Gigabit,$4.6016 hourly,$2.9956 hourly,$1.7448 hourly,$6.8096 hourly,$5.2036 hourly
G6 Graphics and Machine Learning GPU 16xlarge Extra Large,g6.16xlarge,"1,380,872.755",GPU instance,134.0 fps,256 GiB,64 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,$3.3968 hourly,$2.2113 hourly,$1.0322 hourly,$6.3408 hourly,$5.1553 hourly
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,"1,884,200.196",GPU instance,134.0 fps,384 GiB,96 vCPUs,3760 GB (4×940 GB NVMe SSD),50 Gigabit,$6.6752 hourly,$4.3456 hourly,$2.4818 hourly,$11.0912 hourly,$8.7616 hourly
